eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85150338767,,,,STOCHASTIC TRAINING IS NOT NECESSARY FOR GENERALIZATION,cp,Conference Paper,Geiping J.,,Universität Siegen,Siegen,Germany,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150338732,,,,GENERALIZED DECISION TRANSFORMER FOR OFFLINE HINDSIGHT INFORMATION MATCHING,cp,Conference Paper,Furuta H.,,The University of Tokyo,Tokyo,Japan,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150338591,,,,DECONSTRUCTING THE INDUCTIVE BIASES OF HAMILTONIAN NEURAL NETWORKS,cp,Conference Paper,Gruver N.,,New York University,New York,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,1,0,,,,,
2-s2.0-85150338519,,,,ANISOTROPIC RANDOM FEATURE REGRESSION IN HIGH DIMENSIONS,cp,Conference Paper,Mel G.C.,,Stanford University,Palo Alto,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150338333,,,,WHAT HAPPENS AFTER SGD REACHES ZERO LOSS? -A MATHEMATICAL FRAMEWORK,cp,Conference Paper,Li Z.,,Princeton University,Princeton,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150338070,,,,DOUBLY ADAPTIVE SCALED ALGORITHM FOR MACHINE LEARNING USING 2<sup>nd</sup>ORDER INFORMATION,cp,Conference Paper,Jahani M.,,Lehigh University,Bethlehem,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150338053,,,,POSSIBILITY BEFORE UTILITY: LEARNING AND USING HIERARCHICAL AFFORDANCES,cp,Conference Paper,Costales R.,,University of Southern California,Los Angeles,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150337748,,,,ACTIVE HIERARCHICAL EXPLORATION WITH STABLE SUBGOAL REPRESENTATION LEARNING,cp,Conference Paper,Li S.,,Tsinghua University,Beijing,China,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150337644,,,,WHERE ARE THE BOTTLENECKS IN LONG-TAILED CLASSIFICATION?,cp,Conference Paper,Anonymous ,,,,,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150337614,,,,LEARNING TO EXTEND MOLECULAR SCAFFOLDS WITH STRUCTURAL MOTIFS,cp,Conference Paper,Maziarz K.,,Microsoft Research,Redmond,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,2,0,,,,,
2-s2.0-85150337426,,,,SDEDIT: GUIDED IMAGE SYNTHESIS AND EDITING WITH STOCHASTIC DIFFERENTIAL EQUATIONS,cp,Conference Paper,Meng C.,,Stanford University,Palo Alto,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,5,0,,,,,
